<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MMM,0,20160126,102011,144.150000000,200
MMM,0,20160126,102011,144.150000000,100
MMM,0,20160126,102011,144.150000000,1000
MMM,0,20160126,102011,144.150000000,100
MMM,0,20160126,102011,144.150000000,100
MMM,0,20160126,102012,144.150000000,300
MMM,0,20160126,102012,144.150000000,150
MMM,0,20160126,102012,144.150000000,500
MMM,0,20160126,102012,144.150000000,100
MMM,0,20160126,102012,144.150000000,100
MMM,0,20160126,102012,144.150000000,340
MMM,0,20160126,102031,144.210000000,100
MMM,0,20160126,102031,144.200000000,300
MMM,0,20160126,102031,144.200000000,100
MMM,0,20160126,102031,144.200000000,100
MMM,0,20160126,102031,144.190000000,100
MMM,0,20160126,102032,144.150000000,200
MMM,0,20160126,102038,144.080000000,100
MMM,0,20160126,102105,144.170000000,100
MMM,0,20160126,102105,144.180000000,100
MMM,0,20160126,102109,144.190000000,100
MMM,0,20160126,102113,144.200000000,100
MMM,0,20160126,102117,144.250000000,100
MMM,0,20160126,102119,144.300000000,100
MMM,0,20160126,102120,144.310000000,100
MMM,0,20160126,102121,144.300000000,100
MMM,0,20160126,102123,144.290000000,100
MMM,0,20160126,102123,144.260000000,100
MMM,0,20160126,102124,144.260000000,100
MMM,0,20160126,102124,144.260000000,100
MMM,0,20160126,102147,144.240000000,100
MMM,0,20160126,102147,144.260000000,100
MMM,0,20160126,102147,144.260000000,100
MMM,0,20160126,102157,144.250000000,100
MMM,0,20160126,102207,144.260000000,100
MMM,0,20160126,102207,144.260000000,100
MMM,0,20160126,102217,144.290000000,100
MMM,0,20160126,102217,144.270000000,100
MMM,0,20160126,102221,144.220000000,100
MMM,0,20160126,102352,144.330000000,100
MMM,0,20160126,102407,144.300000000,100
MMM,0,20160126,102425,144.270000000,100
MMM,0,20160126,102426,144.225000000,100
MMM,0,20160126,102429,144.225000000,100
MMM,0,20160126,102501,144.330000000,100
MMM,0,20160126,102503,144.420000000,100
MMM,0,20160126,102503,144.450000000,100
MMM,0,20160126,102503,144.450000000,100
MMM,0,20160126,102503,144.440000000,100
MMM,0,20160126,102503,144.450000000,100
MMM,0,20160126,102503,144.470000000,100
MMM,0,20160126,102511,144.430000000,100
MMM,0,20160126,102516,144.430000000,100
MMM,0,20160126,102516,144.415000000,100
MMM,0,20160126,102532,144.460000000,100
MMM,0,20160126,102538,144.430000000,100
